Date,SPY - Close,SPY - Volume,US New Daily Cases,US New Daily Deaths,US New Daily Tests,China New Daily Cases,China New Daily Deaths,US Unemployment Rate (%),US Quarterly GDP,Sitting President,Senate Majority Party,VIX - Open,VIX - Close,Season
8/27/12,141.539993,68785900,0,0,0,0,0,8.1,16257.151,Barack Obama,Democrat,16.15,16.35,Fall
8/28/12,141.399994,75689600,0,0,0,0,0,8.1,16257.151,Barack Obama,Democrat,16.32,16.49,Fall
8/29/12,141.509995,65421300,0,0,0,0,0,8.1,16257.151,Barack Obama,Democrat,16.610001,17.059999,Fall
8/30/12,140.490005,96589900,0,0,0,0,0,8.1,16257.151,Barack Obama,Democrat,17.48,17.83,Fall
8/31/12,141.160004,151970400,0,0,0,0,0,8.1,16257.151,Barack Obama,Democrat,17.25,17.469999,Fall
9/4/12,141.029999,120226200,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,18.65,17.98,Fall
9/5/12,140.910004,100660300,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,17.379999,17.74,Fall
9/6/12,143.770004,158272500,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,17.299999,15.6,Fall
9/7/12,144.330002,107272100,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,15.6,14.38,Fall
9/10/12,143.509995,86458500,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,14.27,16.280001,Fall
9/11/12,143.910004,88760000,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,16.110001,16.41,Fall
9/12/12,144.389999,87640900,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,15.59,15.8,Fall
9/13/12,146.589996,225470200,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,15.6,14.05,Fall
9/14/12,147.240005,169777000,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,13.82,14.51,Fall
9/17/12,146.740005,119427800,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,14.67,14.59,Fall
9/18/12,146.619995,98326600,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,14.51,14.18,Fall
9/19/12,146.699997,128318300,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,13.95,13.88,Fall
9/20/12,146.710007,154009800,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,14.63,14.07,Fall
9/21/12,145.869995,108737500,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,13.94,13.98,Fall
9/24/12,145.649994,95682000,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,15.06,14.15,Fall
9/25/12,144.100006,133165200,0,0,0,0,0,7.8,16257.151,Barack Obama,Democrat,14.19,15.43,Fall
